start, end, subpop
2443108.0, 2443615.0, 0.475
2443615.0, 2465838.0, 0.4745
2465838.0, 2466970.0, 0.4745
2466970.0, 2467919.0, 0.481
2467919.0, 2469908.0, 0.481
2469908.0, 2486531.0, 0.481
2486531.0, 2496760.0, 0.481
2496760.0, 2508121.0, 0.481
2508121.0, 2521989.0, 0.481
2521989.0, 2528989.0, 0.482
2528989.0, 2531479.0, 0.482
2531479.0, 2544031.0, 0.4825
2544031.0, 2546204.0, 0.485
2546204.0, 2546849.0, 0.488
2546849.0, 2548863.0, 0.4885
2548863.0, 2555407.0, 0.4885
2555407.0, 2556538.0, 0.4885
2556538.0, 2557117.0, 0.4895
2557117.0, 2563338.0, 0.489
2563338.0, 2569592.0, 0.458
2569592.0, 2605542.0, 0.4595
2605542.0, 2610191.0, 0.46
2610191.0, 2626383.0, 0.4525
2626383.0, 2626389.0, 0.4795
2626389.0, 2634226.0, 0.4925
2634226.0, 2635013.0, 0.495
2635013.0, 2652959.0, 0.484
2652959.0, 2658786.0, 0.4855
2658786.0, 2660139.0, 0.4855
2660139.0, 2661224.0, 0.4855
2661224.0, 2664676.0, 0.499
2664676.0, 2674877.0, 0.4985
2674877.0, 2677961.0, 0.498
2677961.0, 2678804.0, 0.4975
2678804.0, 2689473.0, 0.4975
2689473.0, 2699241.0, 0.4975
2699241.0, 2699858.0, 0.4975
2699858.0, 2707175.0, 0.506
2707175.0, 2709770.0, 0.506
2709770.0, 2710080.0, 0.506
2710080.0, 2715911.0, 0.506
2715911.0, 2717366.0, 0.5055
2717366.0, 2722333.0, 0.507
2722333.0, 2731714.0, 0.5075
2731714.0, 2732099.0, 0.5075
2732099.0, 2741321.0, 0.5075
2741321.0, 2742762.0, 0.5075
2742762.0, 2765024.0, 0.509
2765024.0, 2768129.0, 0.509
2768129.0, 2769273.0, 0.534
2769273.0, 2776279.0, 0.534
2776279.0, 2779552.0, 0.54
2779552.0, 2784803.0, 0.54
2784803.0, 2788183.0, 0.54
2788183.0, 2789959.0, 0.54
2789959.0, 2793639.0, 0.5395
2793639.0, 2794440.0, 0.4995
2794440.0, 2801178.0, 0.4995
2801178.0, 2810597.0, 0.5005
2810597.0, 2814029.0, 0.5005
2814029.0, 2815473.0, 0.4995
2815473.0, 2816552.0, 0.4995
2816552.0, 2822887.0, 0.4985
2822887.0, 2822929.0, 0.503
2822929.0, 2851187.0, 0.503
2851187.0, 2861365.0, 0.503
2861365.0, 2863756.0, 0.503
2863756.0, 2865377.0, 0.503
2865377.0, 2874953.0, 0.542
2874953.0, 2876788.0, 0.542
2876788.0, 2883080.0, 0.54
2883080.0, 2894929.0, 0.539
2894929.0, 2902780.0, 0.5405
2902780.0, 2907616.0, 0.5405
2907616.0, 2910861.0, 0.5405
2910861.0, 2923756.0, 0.5405
2923756.0, 2924100.0, 0.5405
2924100.0, 2926433.0, 0.5405
2926433.0, 2932953.0, 0.5405
2932953.0, 2933870.0, 0.5405
2933870.0, 2935198.0, 0.5405
2935198.0, 2941323.0, 0.5425
2941323.0, 2942437.0, 0.5425
2942437.0, 2943478.0, 0.5425
2943478.0, 2953870.0, 0.529
2953870.0, 2955334.0, 0.529
2955334.0, 2961433.0, 0.53
2961433.0, 2967274.0, 0.5295
2967274.0, 2970527.0, 0.5295
2970527.0, 2977649.0, 0.5765
2977649.0, 2986219.0, 0.5765
2986219.0, 2987810.0, 0.5765
2987810.0, 2989207.0, 0.5765
2989207.0, 2989450.0, 0.5765
2989450.0, 3009078.0, 0.5665
3009078.0, 3011377.0, 0.567
3011377.0, 3018482.0, 0.5665
3018482.0, 3022722.0, 0.5665
3022722.0, 3034956.0, 0.5665
3034956.0, 3035675.0, 0.5665
3035675.0, 3037597.0, 0.5655
3037597.0, 3037865.0, 0.5655
3037865.0, 3038443.0, 0.536
3038443.0, 3046163.0, 0.534
3046163.0, 3047479.0, 0.5365
3047479.0, 3048187.0, 0.5355
3048187.0, 3055965.0, 0.5355
3055965.0, 3058521.0, 0.5355
3058521.0, 3058768.0, 0.536
3058768.0, 3058871.0, 0.546
3058871.0, 3061578.0, 0.546
3061578.0, 3062891.0, 0.546
3062891.0, 3068378.0, 0.557
3068378.0, 3068551.0, 0.557
3068551.0, 3074216.0, 0.557
3074216.0, 3083832.0, 0.5665
3083832.0, 3084783.0, 0.5505
3084783.0, 3085067.0, 0.5505
3085067.0, 3091475.0, 0.558
3091475.0, 3104826.0, 0.557
3104826.0, 3112480.0, 0.543
3112480.0, 3114486.0, 0.543
3114486.0, 3120038.0, 0.543
3120038.0, 3121112.0, 0.543
3121112.0, 3124238.0, 0.543
3124238.0, 3125808.0, 0.551
3125808.0, 3126610.0, 0.5505
3126610.0, 3131491.0, 0.5505
3131491.0, 3132543.0, 0.55
3132543.0, 3147854.0, 0.5505
3147854.0, 3160164.0, 0.544
3160164.0, 3160253.0, 0.544
3160253.0, 3165529.0, 0.5445
3165529.0, 3174500.0, 0.552
3174500.0, 3179907.0, 0.552
3179907.0, 3192113.0, 0.552
3192113.0, 3197475.0, 0.5525
3197475.0, 3205777.0, 0.5525
3205777.0, 3210421.0, 0.595
3210421.0, 3215588.0, 0.595
3215588.0, 3220259.0, 0.595
3220259.0, 3221768.0, 0.595
3221768.0, 3234199.0, 0.5955
3234199.0, 3234282.0, 0.5955
3234282.0, 3241993.0, 0.5955
3241993.0, 3245919.0, 0.5955
3245919.0, 3253953.0, 0.599
3253953.0, 3260194.0, 0.599
3260194.0, 3260634.0, 0.599
3260634.0, 3266689.0, 0.5985
3266689.0, 3267123.0, 0.5985
3267123.0, 3269469.0, 0.599
3269469.0, 3269884.0, 0.5875
3269884.0, 3270672.0, 0.587
3270672.0, 3278140.0, 0.586
3278140.0, 3283507.0, 0.5875
3283507.0, 3304246.0, 0.5875
3304246.0, 3306759.0, 0.5875
3306759.0, 3325329.0, 0.616
3325329.0, 3325697.0, 0.6165
3325697.0, 3326129.0, 0.618
3326129.0, 3327789.0, 0.5935
3327789.0, 3331168.0, 0.594
3331168.0, 3334137.0, 0.594
3334137.0, 3334772.0, 0.5945
3334772.0, 3342656.0, 0.5945
3342656.0, 3352489.0, 0.5945
3352489.0, 3359689.0, 0.613
3359689.0, 3389831.0, 0.6135
3389831.0, 3394999.0, 0.613
3394999.0, 3395312.0, 0.613
3395312.0, 3397669.0, 0.598
3397669.0, 3403537.0, 0.5975
3403537.0, 3405595.0, 0.5975
3405595.0, 3407353.0, 0.5965
3407353.0, 3408922.0, 0.5965
3408922.0, 3412379.0, 0.612
3412379.0, 3415774.0, 0.612
3415774.0, 3422370.0, 0.612
3422370.0, 3426320.0, 0.612
3426320.0, 3426481.0, 0.6115
3426481.0, 3431391.0, 0.6115
3431391.0, 3444107.0, 0.6115
3444107.0, 3453998.0, 0.612
3453998.0, 3457837.0, 0.61
3457837.0, 3458997.0, 0.61
3458997.0, 3463316.0, 0.604
3463316.0, 3466920.0, 0.604
3466920.0, 3467865.0, 0.6085
3467865.0, 3469619.0, 0.6085
3469619.0, 3481182.0, 0.6085
3481182.0, 3484593.0, 0.607
3484593.0, 3493605.0, 0.6055
3493605.0, 3498072.0, 0.606
3498072.0, 3508798.0, 0.6055
3508798.0, 3509236.0, 0.585
3509236.0, 3518505.0, 0.586
3518505.0, 3519165.0, 0.586
3519165.0, 3523886.0, 0.585
3523886.0, 3529776.0, 0.586
3529776.0, 3538682.0, 0.586
3538682.0, 3556190.0, 0.575
3556190.0, 3556698.0, 0.574
3556698.0, 3561416.0, 0.574
3561416.0, 3563046.0, 0.574
3563046.0, 3574481.0, 0.5765
3574481.0, 3597811.0, 0.5755
3597811.0, 3600523.0, 0.576
3600523.0, 3601079.0, 0.576
3601079.0, 3607431.0, 0.577
3607431.0, 3614527.0, 0.576
3614527.0, 3617122.0, 0.5755
3617122.0, 3622274.0, 0.5755
3622274.0, 3622383.0, 0.5755
3622383.0, 3629892.0, 0.5735
3629892.0, 3630940.0, 0.5735
3630940.0, 3635804.0, 0.5755
3635804.0, 3636525.0, 0.575
3636525.0, 3654466.0, 0.5745
3654466.0, 3658848.0, 0.5745
3658848.0, 3660007.0, 0.5755
3660007.0, 3664481.0, 0.564
3664481.0, 3670612.0, 0.5635
3670612.0, 3676276.0, 0.5635
3676276.0, 3679926.0, 0.5635
3679926.0, 3682606.0, 0.564
3682606.0, 3687622.0, 0.5645
3687622.0, 3688532.0, 0.5555
3688532.0, 3707987.0, 0.5555
3707987.0, 3709546.0, 0.5765
3709546.0, 3711828.0, 0.576
3711828.0, 3716478.0, 0.6045
3716478.0, 3723277.0, 0.6255
3723277.0, 3726461.0, 0.6255
3726461.0, 3731306.0, 0.6255
3731306.0, 3739462.0, 0.6255
3739462.0, 3743741.0, 0.626
3743741.0, 3790472.0, 0.601
3790472.0, 3795201.0, 0.6035
3795201.0, 3812310.0, 0.604
3812310.0, 3814333.0, 0.5995
3814333.0, 3819435.0, 0.5995
3819435.0, 3820723.0, 0.5995
3820723.0, 3837874.0, 0.5995
3837874.0, 3841752.0, 0.5995
3841752.0, 3844234.0, 0.5995
3844234.0, 3849191.0, 0.6245
3849191.0, 3870145.0, 0.6245
3870145.0, 3876211.0, 0.6245
3876211.0, 3877686.0, 0.626
3877686.0, 3884419.0, 0.626
3884419.0, 3891842.0, 0.611
3891842.0, 3897181.0, 0.614
3897181.0, 3901628.0, 0.6125
3901628.0, 3905922.0, 0.6125
3905922.0, 3910246.0, 0.62
3910246.0, 3911760.0, 0.62
3911760.0, 3918819.0, 0.62
3918819.0, 3920005.0, 0.62
3920005.0, 3926537.0, 0.6035
3926537.0, 3926545.0, 0.6025
3926545.0, 3956571.0, 0.6025
3956571.0, 3957824.0, 0.6025
3957824.0, 3958395.0, 0.6025
3958395.0, 3960077.0, 0.6025
3960077.0, 3961070.0, 0.6025
3961070.0, 3962924.0, 0.6025
3962924.0, 3973829.0, 0.5995
3973829.0, 3978843.0, 0.613
3978843.0, 3979503.0, 0.6135
3979503.0, 3985900.0, 0.6145
3985900.0, 3986200.0, 0.6145
3986200.0, 3987760.0, 0.6145
3987760.0, 3989318.0, 0.6145
3989318.0, 3991246.0, 0.6135
3991246.0, 4013791.0, 0.614
4013791.0, 4017727.0, 0.614
4017727.0, 4019955.0, 0.615
4019955.0, 4020488.0, 0.615
4020488.0, 4021296.0, 0.6155
4021296.0, 4022539.0, 0.6155
4022539.0, 4024707.0, 0.6155
4024707.0, 4048465.0, 0.616
4048465.0, 4054174.0, 0.616
4054174.0, 4055181.0, 0.616
4055181.0, 4056795.0, 0.6015
4056795.0, 4083326.0, 0.6015
4083326.0, 4084625.0, 0.618
